model,algo,config,bpp,attempt,ppl_wikitext,ppl_c4,load_mem_allot,model_storage_size,quant_duration,param_count
Qwen3.5-9B,mxq,4_51,4.51,kurt-boost-2-2,8.5056,11.898,10.8,10.78,19.48755788803101,9000000000
Qwen3.5-4B,mxq,4_25,4.25,kurt-boost-2-3,9.3637,13.7047,6.32,6.25,7.957371234893799,4000000000
Qwen3.5-9B,mxq,3_25,3.25,kurt-boost-2-3,8.8708,12.8604,10.07,9.98,22.18706083297729,9000000000
Qwen3.5-2B,mxq,4_13,4.13,kurt-boost-2-3,12.4255,17.7743,3.72,3.72,2.846707344055176,2000000000
Qwen3.5-2B,mxq,4_51,4.51,kurt-boost-2-3,11.9649,17.3473,3.84,3.83,2.774712562561035,2000000000
Qwen3.5-2B,mxq,3_13,3.13,kurt-boost-2-3,14.93,20.8112,3.65,3.64,3.076554775238037,2000000000
Qwen3.5-2B,mxq,3_25,3.25,kurt-boost-2-3,13.5734,19.4111,3.67,3.66,2.949051856994629,2000000000
Qwen3.5-2B,mxq,3_51,3.51,kurt-boost-2-3,12.5623,18.5489,3.72,3.71,3.0193231105804443,2000000000
Qwen3.5-4B,mxq,3_51,3.51,kurt-boost-2-3,10.0354,14.3514,6.17,6.13,8.26595950126648,4000000000
Qwen3.5-4B,mxq,3_13,3.13,kurt-boost-2-3,10.3228,15.3229,5.95,5.93,8.827926397323608,4000000000
Qwen3.5-9B,mxq,4_13,4.13,kurt-boost-2-3,8.6975,12.0396,10.32,10.3,20.340593814849854,9000000000
Qwen3.5-4B,mxq,4_51,4.51,kurt-boost-2-3,9.2834,13.6222,6.46,6.38,9.023015022277832,4000000000
Qwen3.5-9B,mxq,4_25,4.25,kurt-boost-2-3,8.5377,11.9354,10.54,10.52,19.76762008666992,9000000000
Qwen3.5-9B,mxq,3_51,3.51,kurt-boost-2-3,9.1175,12.4651,10.35,10.26,21.47712755203247,9000000000
Qwen3.5-4B,mxq,3_25,3.25,kurt-boost-2-3,10.3717,14.8023,6.01,6,8.503159999847412,4000000000
Qwen3.5-2B,mxq,4_25,4.25,kurt-boost-2-3,12.3841,17.5469,3.78,3.78,2.814797163009644,2000000000
Qwen3.5-9B,mxq,3_13,3.13,kurt-boost-2-3,8.5539,13.2885,9.93,9.84,22.49357557296753,9000000000
Qwen3.5-4B,mxq,4_13,4.13,kurt-boost-2-3,9.4054,13.807,6.23,6.15,9.553017377853394,4000000000
Qwen3.5-9B,mxq,4_51,4.51,kurt-boost-2-3,8.5025,11.8966,10.82,10.8,19.60882139205933,9000000000
Qwen3.5-4B,mxq,4_25,4.25,kurt-boost-3-0,9.3633,13.7047,6.32,6.25,7.957388877868652,4000000000
Qwen3.5-9B,mxq,3_25,3.25,kurt-boost-3-0,8.919,12.8608,10.08,9.99,22.40153479576111,9000000000
Qwen3.5-2B,mxq,4_13,4.13,kurt-boost-3-0,12.4207,17.7075,3.76,3.76,2.804124355316162,2000000000
Qwen3.5-2B,mxq,4_51,4.51,kurt-boost-3-0,11.9674,17.347,3.84,3.84,2.8224897384643555,2000000000
Qwen3.5-2B,mxq,3_13,3.13,kurt-boost-3-0,14.5859,20.3724,3.65,3.64,3.763980865478516,2000000000
Qwen3.5-2B,mxq,3_25,3.25,kurt-boost-3-0,13.6938,19.4011,3.68,3.66,3.71304988861084,2000000000
Qwen3.5-2B,mxq,3_51,3.51,kurt-boost-3-0,12.5601,18.5044,3.73,3.72,3.684860944747925,2000000000
Qwen3.5-4B,mxq,3_51,3.51,kurt-boost-3-0,10.0317,14.3507,6.17,6.14,8.322108745574951,4000000000
Qwen3.5-4B,mxq,3_13,3.13,kurt-boost-3-0,10.3075,15.3039,5.95,5.93,8.852587938308716,4000000000
Qwen3.5-9B,mxq,4_13,4.13,kurt-boost-3-0,8.6999,12.0271,10.39,10.38,21.098408699035645,9000000000
Qwen3.5-4B,mxq,4_51,4.51,kurt-boost-3-0,9.2838,13.6222,6.46,6.38,9.321361780166626,4000000000
Qwen3.5-9B,mxq,4_25,4.25,kurt-boost-3-0,8.5378,11.9355,10.54,10.52,20.595695734024048,9000000000
Qwen3.5-9B,mxq,3_51,3.51,kurt-boost-3-0,9.0934,12.4701,10.36,10.28,22.13469386100769,9000000000
Qwen3.5-4B,mxq,3_25,3.25,kurt-boost-3-0,10.3849,14.8034,6.02,6,10.467967987060549,4000000000
Qwen3.5-2B,mxq,4_25,4.25,kurt-boost-3-0,12.388,17.543,3.79,3.79,3.2813189029693604,2000000000
Qwen3.5-9B,mxq,3_13,3.13,kurt-boost-3-0,8.5142,13.2511,9.93,9.84,23.22411298751831,9000000000
Qwen3.5-4B,mxq,4_13,4.13,kurt-boost-3-0,9.3986,13.8015,6.25,6.18,9.782310009002686,4000000000
Qwen3.5-9B,mxq,4_51,4.51,kurt-boost-3-0,8.4996,11.8969,10.82,10.81,19.817223072052,9000000000
Qwen3.5-4B,mxq,4_25,4.25,kurt-boost-3-1,9.3696,13.709,6.3,6.23,8.315963506698608,4000000000
Qwen3.5-9B,mxq,3_25,3.25,kurt-boost-3-1,8.9281,12.8742,10.07,9.98,22.423298597335812,9000000000
Qwen3.5-2B,mxq,4_13,4.13,kurt-boost-3-1,12.2989,17.753,3.73,3.73,2.851167917251587,2000000000
Qwen3.5-2B,mxq,4_51,4.51,kurt-boost-3-1,11.9902,17.3814,3.81,3.81,2.818180561065674,2000000000
Qwen3.5-2B,mxq,3_13,3.13,kurt-boost-3-1,14.8599,20.6797,3.64,3.63,3.0858378410339355,2000000000
Qwen3.5-2B,mxq,3_25,3.25,kurt-boost-3-1,13.7544,19.4968,3.67,3.66,3.686896085739136,2000000000
Qwen3.5-2B,mxq,3_51,3.51,kurt-boost-3-1,12.5798,18.6406,3.72,3.71,3.7262351512908936,2000000000
Qwen3.5-4B,mxq,3_51,3.51,kurt-boost-3-1,10.0375,14.3637,6.17,6.13,8.65302562713623,4000000000
Qwen3.5-4B,mxq,3_13,3.13,kurt-boost-3-1,10.3167,15.3254,5.94,5.93,8.796403408050537,4000000000
Qwen3.5-9B,mxq,4_13,4.13,kurt-boost-3-1,8.6907,12.0301,10.35,10.33,20.62231397628784,9000000000
Qwen3.5-4B,mxq,4_51,4.51,kurt-boost-3-1,9.2888,13.6257,6.44,6.36,9.143951416015623,4000000000
Qwen3.5-9B,mxq,4_25,4.25,kurt-boost-3-1,8.5305,11.9382,10.5,10.48,20.113149642944336,9000000000
Qwen3.5-9B,mxq,3_51,3.51,kurt-boost-3-1,9.1181,12.481,10.35,10.27,21.393142223358154,9000000000
Qwen3.5-4B,mxq,3_25,3.25,kurt-boost-3-1,10.3925,14.8201,6.01,6,10.20039176940918,4000000000
Qwen3.5-2B,mxq,4_25,4.25,kurt-boost-3-1,12.3854,17.6189,3.76,3.76,2.799495220184326,2000000000
Qwen3.5-9B,mxq,3_13,3.13,kurt-boost-3-1,8.5231,13.2691,9.92,9.83,22.42395329475403,9000000000
Qwen3.5-4B,mxq,4_13,4.13,kurt-boost-3-1,9.4025,13.8067,6.23,6.16,8.175026893615723,4000000000
Qwen3.5-9B,mxq,4_51,4.51,kurt-boost-3-1,8.502,11.8984,10.78,10.76,19.706084489822388,9000000000
Qwen3.5-4B,mxq,4_25,4.25,kurt-boost-3-2,9.3669,13.7075,6.31,6.24,8.001006603240967,4000000000
Qwen3.5-9B,mxq,3_25,3.25,kurt-boost-3-2,8.9279,12.8677,10.08,9.98,20.391255378723145,9000000000
Qwen3.5-2B,mxq,4_13,4.13,kurt-boost-3-2,12.3235,17.7351,3.75,3.75,2.814215421676636,2000000000
Qwen3.5-2B,mxq,4_51,4.51,kurt-boost-3-2,11.9887,17.371,3.83,3.83,2.806952953338623,2000000000
Qwen3.5-2B,mxq,3_13,3.13,kurt-boost-3-2,14.905,20.5072,3.65,3.63,3.1000635623931885,2000000000
Qwen3.5-2B,mxq,3_25,3.25,kurt-boost-3-2,13.8068,19.438,3.67,3.66,3.0063283443450928,2000000000
Qwen3.5-2B,mxq,3_51,3.51,kurt-boost-3-2,12.5588,18.5717,3.73,3.71,3.014484405517578,2000000000
Qwen3.5-4B,mxq,3_51,3.51,kurt-boost-3-2,10.0351,14.3593,6.17,6.14,8.26167893409729,4000000000
Qwen3.5-4B,mxq,3_13,3.13,kurt-boost-3-2,10.3131,15.3164,5.95,5.93,8.825608968734741,4000000000
Qwen3.5-9B,mxq,4_13,4.13,kurt-boost-3-2,8.6982,12.0282,10.37,10.36,20.751089334487915,9000000000
Qwen3.5-4B,mxq,4_51,4.51,kurt-boost-3-2,9.2863,13.6242,6.45,6.37,7.720495462417602,4000000000
Qwen3.5-9B,mxq,4_25,4.25,kurt-boost-3-2,8.5373,11.937,10.52,10.5,20.063719034194943,9000000000
Qwen3.5-9B,mxq,3_51,3.51,kurt-boost-3-2,9.0978,12.4745,10.36,10.27,19.469263553619385,9000000000
Qwen3.5-4B,mxq,3_25,3.25,kurt-boost-3-2,10.3856,14.8116,6.01,6,8.488263607025146,4000000000
Qwen3.5-2B,mxq,4_25,4.25,kurt-boost-3-2,12.3784,17.5812,3.78,3.77,2.7908451557159424,2000000000
Qwen3.5-9B,mxq,3_13,3.13,kurt-boost-3-2,8.5197,13.2632,9.92,9.84,20.86660671234131,9000000000
Qwen3.5-4B,mxq,4_13,4.13,kurt-boost-3-2,9.4034,13.8044,6.24,6.17,8.17042350769043,4000000000
Qwen3.5-9B,mxq,4_51,4.51,kurt-boost-3-2,8.5025,11.8982,10.8,10.79,20.08002996444702,9000000000
Qwen3.5-4B,mxq,4_25,4.25,kurt-boost-3-3,9.3633,13.7047,6.32,6.25,7.965713739395142,4000000000
Qwen3.5-9B,mxq,3_25,3.25,kurt-boost-3-3,8.919,12.8608,10.08,9.99,21.99840021133423,9000000000
Qwen3.5-2B,mxq,4_13,4.13,kurt-boost-3-3,12.4207,17.7075,3.76,3.76,2.7701117992401123,2000000000
Qwen3.5-2B,mxq,4_51,4.51,kurt-boost-3-3,11.9674,17.347,3.84,3.84,2.803539514541626,2000000000
Qwen3.5-2B,mxq,3_13,3.13,kurt-boost-3-3,14.5859,20.3724,3.65,3.64,3.039069414138794,2000000000
Qwen3.5-2B,mxq,3_25,3.25,kurt-boost-3-3,13.6938,19.4011,3.68,3.66,3.759380578994751,2000000000
Qwen3.5-2B,mxq,3_51,3.51,kurt-boost-3-3,12.5601,18.5044,3.73,3.72,3.654306888580322,2000000000
Qwen3.5-4B,mxq,3_51,3.51,kurt-boost-3-3,10.0317,14.3507,6.17,6.14,10.021857976913452,4000000000
Qwen3.5-4B,mxq,3_13,3.13,kurt-boost-3-3,10.3075,15.3039,5.95,5.93,8.853377103805542,4000000000
Qwen3.5-9B,mxq,4_13,4.13,kurt-boost-3-3,8.6999,12.0271,10.39,10.38,20.497496843338013,9000000000
Qwen3.5-4B,mxq,4_51,4.51,kurt-boost-3-3,9.2838,13.6222,6.46,6.38,8.882904291152954,4000000000
Qwen3.5-9B,mxq,4_25,4.25,kurt-boost-3-3,8.5378,11.9355,10.54,10.52,19.92428660392761,9000000000
Qwen3.5-9B,mxq,3_51,3.51,kurt-boost-3-3,9.0934,12.4701,10.36,10.28,21.87646102905273,9000000000
Qwen3.5-4B,mxq,3_25,3.25,kurt-boost-3-3,10.3849,14.8034,6.02,6,10.24904751777649,4000000000
Qwen3.5-2B,mxq,4_25,4.25,kurt-boost-3-3,12.388,17.543,3.79,3.79,2.764030694961548,2000000000
Qwen3.5-9B,mxq,3_13,3.13,kurt-boost-3-3,8.5142,13.2511,9.93,9.84,23.01667261123657,9000000000
Qwen3.5-4B,mxq,4_13,4.13,kurt-boost-3-3,9.3986,13.8015,6.25,6.18,8.12333631515503,4000000000
